accX,accY,accZ,gyroX,gyroY,gyroZ
-8.9354,0.5725,-4.8957,0.4288,4.9721,1.9103
-6.0389,-0.1795,-3.8130,0.5669,4.0859,0.9972
-2.9342,0.3559,-5.0267,-0.4100,2.6099,0.0716
-0.4726,2.6949,-7.0576,-0.3231,1.0069,-0.6041
-0.1860,3.2022,-9.7555,-0.2324,-0.4808,-0.7523
-1.4638,3.2118,-9.3924,0.5762,-1.6275,-0.7393
-10.2491,1.0128,0.0377,-1.0258,-1.9907,-0.3864
-10.2491,1.0128,0.0377,-1.0258,-1.9907,-0.3864
-9.7328,0.3948,-2.0704,-0.2961,-1.0215,0.1104
-11.7422,1.2981,-3.4110,-0.2870,1.1614,1.3219
-13.2479,-0.7442,-1.9143,0.9103,3.8225,1.6467
-14.8235,2.4048,-0.7549,1.2242,4.7945,1.6475
-14.0614,4.4441,-2.4927,1.1338,4.9821,2.0270
-12.6700,5.0016,-7.8221,0.8867,5.0036,2.7072
-9.9374,-0.1615,-6.7125,2.1015,5.0036,2.3350
-5.5107,0.1531,-0.8752,1.1451,4.9697,1.2633
-0.0604,-0.4367,-0.2076,0.6324,2.1673,0.4027
-9.7310,0.0299,-0.5976,-0.8263,-1.5915,-0.9439
-9.5868,-0.5073,-0.7412,-0.3928,-1.3068,-0.8473
-10.2341,1.7288,0.2429,0.8241,-0.3943,-0.3603
-11.8325,0.8560,-2.8965,0.3173,1.5201,1.3105
-14.1679,-0.6628,-3.8291,1.8230,4.3129,1.6892
-17.3025,4.0893,-3.4092,0.9717,5.0036,2.0528
-16.6140,4.4842,-3.2895,1.5279,5.0036,2.6530
-13.0540,1.3083,-4.4638,1.5291,5.0036,2.7891
-7.1336,0.6311,-0.8441,1.0825,5.0036,1.9198
-1.9789,-1.2431,-2.2265,1.3552,3.4265,1.0067
-12.2668,-0.0407,-0.6114,0.2825,0.3227,-0.5638
-12.2668,-0.0407,-0.6114,0.2825,0.3227,-0.5638
-12.2764,-2.0632,-1.3657,0.5159,-0.2711,-1.0979
-11.9324,-2.9085,3.2806,0.9201,-2.2234,-2.4483
-11.4317,0.9571,3.2698,0.2775,-4.1450,-2.5018
-9.9009,-1.1575,2.2905,0.2766,-5.0036,-1.7828
-7.3693,-1.6822,0.7029,0.0015,-4.6762,-1.4444
-5.7470,-2.5896,0.8076,0.1852,-2.8300,-0.8222
-6.5450,-3.8782,3.0060,0.2856,-0.4520,-0.1376
-7.1318,-6.7801,6.6329,0.7902,1.3297,-0.5289
-8.9988,-2.5250,5.8540,0.7572,1.8318,-0.5638
-11.1966,-1.5912,-3.8417,0.9977,-1.3549,-1.2810
-11.1966,-1.5912,-3.8417,0.9977,-1.3549,-1.2810
-10.6552,-1.1605,1.1557,0.2608,-2.9425,-1.8729
-10.1575,-1.0720,2.5065,0.9894,-4.8333,-2.0047
-10.0756,0.0987,-2.1589,-0.0670,-5.0028,-1.7352
-8.2026,-1.0355,-1.6026,0.8057,-4.1116,-1.2642
-6.0359,-3.5809,3.5061,1.3654,-3.2442,-1.1785
-6.5719,-2.9384,7.6199,1.3702,-2.5673,-1.1519
-7.4471,-1.4058,8.3354,0.2242,-1.2894,-0.3267
-10.8347,-0.9033,0.9817,0.2314,-3.8888,-1.2144
-10.8347,-0.9033,0.9817,0.2314,-3.8888,-1.2144
-12.1083,-4.3095,4.4363,0.1103,-4.9714,-1.3479
