accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps]
-669.9171,402.1577,-390.5716,52465.0195,-152862.5625,196743.8281
-626.2561,1081.8923,1308.1861,-1907.5007,121590.0312,-143666.2968
-144.5816,-57.6253,-126.8977,25987.5097,52666.2695,-56332.5234
-144.5816,-57.6253,-126.8977,25488.7597,43706.2617,-41877.5156
86.7124,-54.5764,-67.3820,-31543.7617,-45666.2695,77962.5234
-230.1964,260.8079,341.1175,-31255.0078,-148277.5625,202965.0781
-901.4551,688.1500,391.8522,45360.0156,-286623.8437,286685.1250
-788.7045,852.5498,479.1134,46121.2656,-286685.1250,286685.1250
-930.8470,1515.2104,1239.2186,91665.0390,-207690.0781,286685.1250
-38.3559,-104.4573,-172.0832,6571.2524,3386.2512,21498.7578
-33.1727,-137.5690,-176.9615,-1137.5004,-5460.0019,41186.2695
-115.7994,-15.9765,-157.1433,2528.7507,-71128.7734,166442.5625
-720.7738,473.6253,412.9509,-75477.5312,-174781.3125,286632.5937
-1378.1291,1091.7711,837.1831,17202.5078,-286466.3437,286685.1250
-1519.4790,929.1397,706.5657,83833.7812,-286685.1250,286685.1250
-863.2211,507.2248,509.2980,-34938.7617,-186401.3125,265790.0937
-380.0222,-366.7897,-255.2588,-17158.7558,-14630.0058,21113.7578
-333.7390,-333.8610,-211.1708,-24990.0078,-23913.7578,31438.7617
-243.9777,-145.0695,-74.8824,-39891.2617,-118090.0390,128091.2968
-632.4150,282.1506,229.4036,-43181.2656,-216921.3281,247940.0781
-1003.3513,740.7139,205.6828,46191.2695,-271005.1250,286685.1250
-1217.2052,1140.0056,798.5833,68862.5234,-268520.0937,286685.1250
