accX,accY,accZ,gyroX,gyroY,gyroZ
-9.9870,-0.5940,0.4319,-0.0011,-0.0023,-0.0170
-9.9769,-0.5545,0.4367,-0.0023,-0.0005,-0.0330
-9.9918,-0.6502,0.4451,-0.0031,-0.0057,-0.0527
-9.9894,-0.5922,0.3984,-0.0009,-0.0002,-0.0024
-9.9841,-0.5677,0.4164,-0.0005,0.0006,-0.0118
-10.0044,-0.6000,0.4469,-0.0017,-0.0009,-0.0214
-9.9847,-0.5815,0.4457,-0.0012,-0.0006,-0.0037
-9.9793,-0.5539,0.4301,-0.0020,-0.0037,-0.0353
-9.9912,-0.6395,0.4481,-0.0029,-0.0040,-0.0551
-9.9763,-0.6353,0.4223,-0.0011,-0.0026,-0.0160
-9.9787,-0.5964,0.4277,-0.0003,-0.0029,-0.0020
-9.9882,-0.5946,0.4265,-0.0002,-0.0009,0.0075
-9.9936,-0.5402,0.4223,-0.0009,-0.0003,-0.0049
-10.0014,-0.5976,0.4355,-0.0029,-0.0046,-0.0420
-9.9763,-0.5659,0.4283,-0.0017,-0.0031,-0.0231
-9.9841,-0.5713,0.4175,-0.0014,-0.0011,-0.0226
-9.9847,-0.5976,0.4385,-0.0009,-0.0011,-0.0134
-10.0086,-0.6030,0.4445,-0.0005,0.0015,0.0128
-8.9599,1.1922,4.1779,-0.0147,-0.0305,-0.0075
-8.9599,1.4411,4.1689,-0.0147,-0.0305,-0.0075
-8.9515,1.3836,4.1360,-0.0976,-0.0296,0.0038
-8.9563,1.1312,4.2018,-0.1976,-0.0278,0.0338
-8.9043,1.0588,4.2808,-0.1845,-0.0185,0.0486
-8.9336,1.1791,4.2508,0.0064,-0.0043,0.0199
-8.9515,1.2730,4.2174,0.0252,-0.0005,0.0066
-8.9121,1.2467,4.2556,0.1029,-0.0058,-0.0121
-8.9360,1.3980,4.1952,-0.0041,0.0014,-0.0078
-8.9204,1.2431,4.2526,-0.0101,0.0125,-0.0104
-8.9557,1.3974,4.1743,0.0883,0.0067,-0.0255
-8.9228,1.3017,4.2191,-0.0153,0.0009,-0.0250
-8.9468,1.3005,4.2042,0.0539,0.0021,-0.0302
-8.9450,1.3657,4.1791,-0.0258,-0.0023,-0.0301
-8.9204,1.2114,4.2305,0.0003,0.0072,-0.0521
-8.9474,1.3017,4.1773,0.0458,0.0093,-0.0583
-8.9779,1.2239,4.1809,-0.0176,0.0240,-0.0490
-8.9569,1.2658,4.1779,0.0003,0.0156,-0.0367
-8.9791,1.2257,4.1671,-0.0024,0.0209,-0.0486
-8.9839,1.2359,4.1420,0.0345,0.0176,-0.0481
-8.9689,1.2718,4.1426,-0.0029,0.0108,-0.0386
-8.9815,1.1940,4.1539,0.0031,0.0006,-0.0357
-8.9916,1.2610,4.1306,-0.0031,0.0029,-0.0199
-8.9833,1.2006,4.1408,0.0272,0.0020,-0.0292
-8.9815,1.2610,4.1133,-0.0104,0.0020,-0.0180
-8.9767,1.2114,4.1462,0.0073,0.0064,-0.0362
-8.9916,1.2185,4.1210,0.0102,0.0125,-0.0359
-8.9803,1.2221,4.1222,-0.0244,0.0008,-0.0359
-8.9904,1.2024,4.1354,0.0290,-0.0087,-0.0602
-8.9910,1.1503,4.1366,0.0137,-0.0075,-0.0528
-9.0036,1.1821,4.1414,0.0192,-0.0119,-0.0704
-8.9922,1.1593,4.1264,-0.0163,-0.0064,-0.0461
-9.0030,1.1509,4.1157,0.0229,-0.0058,-0.0421
-9.0036,1.1593,4.1258,-0.0658,-0.0067,-0.0156
-8.9761,1.0606,4.1689,0.0148,-0.0119,-0.0252
-9.0030,1.2323,4.1169,0.0000,-0.0108,-0.0209
-8.9946,1.0977,4.1575,-0.0589,-0.0153,0.0060
-8.9659,1.1605,4.1731,0.0415,-0.0195,-0.0134
-8.9904,1.1838,4.1390,0.0026,-0.0037,-0.0018
-8.9737,1.1414,4.1910,-0.0224,-0.0111,0.0063
